cycle,time,SD,class
0,5,26.791315376518188,0
0,6,25.456527661869515,0
0,7,27.83665799392311,0
0,8,9.823151676802242,0
0,9,6.3942265632382345,0
0,10,2.04175611914592,0
0,11,0.5770249716694317,0
0,12,0.30756036646442625,0
0,13,0.3220670228795763,0
0,14,0.4363317253526399,0
0,15,0.5577616988592238,0
0,16,1.4029350765752153,0
0,17,1.8314843132235197,0
0,18,1.5416287535845696,0
0,19,1.695593774286562,0
0,20,1.4012866897387104,0
0,21,1.475203518385205,0
0,22,0.9899532689123267,0
0,23,0.3434467786128532,0
0,24,0.44054395334071017,0
0,25,0.13983810222896728,0
0,26,0.12328816988067344,0
0,27,0.06949592161349107,0
0,28,0.012530310023350527,0
0,29,0.25892219611647366,0
1,5,7.95683332384388,3
1,6,7.526069179935118,3
1,7,8.054494127994383,3
1,8,14.012352467327068,3
1,9,17.991838318494114,3
1,10,11.126483533933955,3
1,11,11.450781415373475,3
1,12,3.303425602311398,3
1,13,4.311769264778735,3
1,14,5.663927277649904,3
1,15,3.9486789930726256,3
1,16,1.8323282918791537,3
1,17,1.1601398721261758,3
1,18,1.1201583255107266,3
1,19,1.0318473007229005,3
1,20,1.2908566442606073,3
1,21,1.1300383517530173,3
1,22,0.834087489748617,3
1,23,0.9727213005827919,3
1,24,0.5700557914217864,3
1,25,0.4248626553817028,3
1,26,0.14585993661084984,3
1,27,0.09046537302586481,3
1,28,0.1358979173361155,3
1,29,0.45061981344646096,3
2,5,4.575966966141311,2
2,6,4.77542527116876,2
2,7,7.224541152279329,2
2,8,6.315402095801063,2
2,9,5.86204381024009,2
2,10,24.54085780107596,2
2,11,39.25521089717497,2
2,12,38.90100068235366,2
2,13,41.04635209545272,2
2,14,38.261737519544155,2
2,15,31.443960637400824,2
2,16,27.57487717668116,2
2,17,27.19813725215355,2
2,18,21.5032464595708,2
2,19,13.612257070891422,2
2,20,4.589774819144171,2
2,21,4.155594692001025,2
2,22,4.7183916341134475,2
2,23,5.668600335499089,2
2,24,2.702475543710525,2
2,25,1.9542545822526785,2
2,26,3.269881649893348,2
2,27,8.58890954449549,2
2,28,8.517651207251742,2
2,29,9.02479529869114,2
3,5,32.71404473405871,1
3,6,44.48095038711939,1
3,7,19.70258009943907,1
3,8,25.079650491795167,1
3,9,27.62809706253359,1
3,10,25.379274934523075,1
3,11,20.349401583939787,1
3,12,21.939808369783087,1
3,13,17.008482349503893,1
3,14,22.25390232414744,1
3,15,24.766936955248642,1
3,16,20.86924957444693,1
3,17,22.6204018256578,1
3,18,22.10797132000142,1
3,19,19.150434886294434,1
3,20,17.245803130647502,1
3,21,23.080108039514883,1
3,22,15.549849627071852,1
3,23,11.377343498674906,1
3,24,13.07962983081084,1
3,25,9.503929048119891,1
3,26,6.00016732089453,1
3,27,1.5414225728933082,1
3,28,1.7508715611604453,1
3,29,2.6831942047228674,1
4,5,0.6725627491401057,0
4,6,0.7375305274569333,0
4,7,0.3342136310861418,0
4,8,0.34846241349668655,0
4,9,0.1727865217201804,0
4,10,0.15902071705768453,0
4,11,0.17718286571598077,0
4,12,0.15465466787461846,0
4,13,0.28405510867455347,0
4,14,0.25362988184280416,0
4,15,0.22807153143142253,0
4,16,0.1944830547337456,0
4,17,0.12197641267405337,0
4,18,0.11546297474855523,0
4,19,0.15020520707869603,0
4,20,0.21338498764033073,0
4,21,0.2590324835629391,0
4,22,0.27505282202216336,0
4,23,0.23842232050016385,0
4,24,0.47852001861087257,0
4,25,0.6778878722973299,0
4,26,0.9150203906602206,0
4,27,2.6006648814492843,0
4,28,4.840108020072773,0
4,29,3.0613559679252997,0
5,5,0.7171697452527093,2
5,6,0.8418562375687608,2
5,7,4.529921864155346,2
5,8,3.8206554835840567,2
5,9,4.870493823696696,2
5,10,6.029168581219343,2
5,11,5.377930189113382,2
5,12,5.777916056958358,2
5,13,2.438332191404197,2
5,14,5.677181792435135,2
5,15,15.702958172366635,2
5,16,16.585642917245618,2
5,17,25.800185711890567,2
5,18,18.18207919970191,2
5,19,20.719893811237583,2
5,20,26.247062619139157,2
5,21,42.83548133773384,2
5,22,33.130088692818184,2
5,23,18.959247906423915,2
5,24,6.3237267314660155,2
5,25,4.113576210166325,2
5,26,2.031371492163638,2
5,27,0.5968716008303365,2
