cycle,time,MAD,class
0,9,4.1337843276929505,1
0,10,3.9082990774264244,1
0,11,3.4213964812590563,1
0,12,2.7538567778301024,1
0,13,2.011962932672708,1
0,14,1.262451036632822,1
0,15,0.6119823477338447,1
0,16,0.19104122514052263,1
0,17,0.06597445537392635,1
0,18,0.34874626585757296,1
0,19,0.8649333230216046,1
0,20,1.2953978146515353,1
0,21,1.4766154810064698,1
0,22,1.3925817183818365,1
0,23,1.210113458338397,1
0,24,1.0413403122535194,1
0,25,0.927591075989996,1
0,26,0.8619596916797114,1
0,27,0.8524561949981926,1
0,28,0.9022958608069622,1
0,29,1.0035438477705716,1
0,30,1.1368816299171274,1
0,31,1.2797455039621743,1
0,32,1.3860555350333958,1
0,33,1.4408187924253233,1
0,34,1.4354150245141035,1
0,35,1.3477578888471702,1
0,36,1.2311114710691782,1
0,37,1.1082832023615325,1
0,38,0.9954234021630495,1
0,39,0.8828655653993471,1
0,40,0.7293540241182722,1
0,41,0.5353508294161566,1
0,42,0.37414552732942674,1
0,43,0.277089738930191,1
0,44,0.27210006939445636,1
0,45,0.35904601653162643,1
0,46,0.5188599848876103,1
0,47,0.7186656271243519,1
0,48,0.8790356400870311,1
0,49,0.9647330377385485,1
0,50,0.9530990467881167,1
0,51,0.8909693960673803,1
0,52,0.8273299154567598,1
0,53,0.7864201231184733,1
0,54,0.7669974878585518,1
0,55,0.7761090373265477,1
0,56,0.8313902803894924,1
0,57,1.0000389667103156,1
0,58,1.326168947142262,1
0,59,1.884831525295616,1
0,60,2.6836427614073917,1
0,61,3.7836794106627107,1
0,62,5.11735415226878,1
0,63,6.582037284580647,1
0,64,8.029474939355342,1
0,65,9.21333650755948,1
0,66,10.204819811620398,1
0,67,11.062648816780614,1
0,68,11.692956897322718,1
0,69,12.124819155985888,1
0,70,12.558533082245509,1
0,71,12.942360197985945,1
0,72,13.580125341973568,1
0,73,13.913991658866964,1
0,74,13.005063764539264,1
0,75,11.229443689518236,1
0,76,8.079741917912036,1
0,77,4.639702514867807,1
0,78,1.9954606118496205,1
0,79,1.1109855934508006,1
0,80,2.1678854010016937,1
0,81,3.478305769760709,1
0,82,3.57584301287848,1
0,83,2.328373052389834,1
0,84,1.094261211639247,1
0,85,1.1319293714692171,1
0,86,3.0668846912959604,1
0,87,6.658295330853538,1
0,88,11.123207660224498,1
0,89,16.034437596006516,1
0,90,21.210177889722512,1
0,91,25.955499087854193,1
0,92,30.826694965759252,1
0,93,35.53513552852452,1
0,94,39.33707067634156,1
0,95,42.1465635165536,1
0,96,42.93943595174696,1
0,97,41.61293585650579,1
0,98,38.25829309637582,1
0,99,32.54111185987496,1
0,100,25.705910187325095,1
1,9,4.307410236786625,1
1,10,4.019519630083586,1
1,11,3.463175349118276,1
1,12,2.770111161791398,1
1,13,2.035804186923484,1
1,14,1.3695673401191226,1
1,15,0.7293011383743281,1
1,16,0.310393741116392,1
1,17,0.1789471062213221,1
1,18,0.41665155326324677,1
1,19,0.8132504648317535,1
1,20,1.165516919675695,1
1,21,1.3627461647972836,1
1,22,1.384860841260075,1
1,23,1.3545400168388146,1
1,24,1.28499961343316,1
1,25,1.279928418616091,1
1,26,1.2885098908673716,1
1,27,1.2957924352765533,1
1,28,1.289968908883155,1
1,29,1.2821769107351213,1
1,30,1.2793571905642833,1
1,31,1.2793363657364394,1
1,32,1.2687996820503111,1
1,33,1.203594745633878,1
1,34,1.0934065238734796,1
1,35,0.9771008527260054,1
1,36,0.8746315042552856,1
1,37,0.7915275525248316,1
1,38,0.7421710609803959,1
1,39,0.7060344588210961,1
1,40,0.6899507043377313,1
